1,Sprigatito,Starter Pokémon in Cabo Poco
2,Floragato,Evolve Sprigatito
3,Meowscarada,Evolve Floragato
4,Fuecoco,Starter Pokémon in Cabo Poco
5,Crocalor,Evolve Fuecoco
6,Skeledirge,Evolve Crocalor
7,Quaxly,Starter Pokémon in Cabo Poco
8,Quaxwell,Evolve Quaxly
9,Quaquaval,Evolve Quaxwell
10,Lechonk,"East Province Area One, East Province Area Two, Pokemon League, South Province Area One, South Province Area Two, South Province Area Three, South Province Area Four, South Province Area Five
Tera Raid Battles: 1 Star Raid Battles"
11,Oinkologne,"East Province Area One, East Province Area Two, South Province Area Three, South Province Area Five, Tagtree Thicket, West Province Area Two, West Province Area Three
Tera Raid Battles: 3 Star Raid Battles"
12,Tarountula,"Pokemon League, South Province Area One, South Province Area Two, South Province Area Three, South Province Area Four, South Province Area Five
Tera Raid Battles: 1 Star Raid Battles"
13,Spidops,"East Province Area One, East Province Area Two, North Province Area Two, Socarrat Trail, Tagtree Thicket, West Province Area Three
Tera Raid Battles: 3 Star Raid Battles"
14,Nymble,"South Province Area Two, South Province Area Three, South Province Area Six, West Province Area One
Tera Raid Battles: 1 Star Raid Battles"
15,Lokix,"Alfornada Cavern, Asado Desert, Casseroya Lake, Dalizapa Passage, East Province Area Three, Glaseado Mountain, North Province Area One, North Province Area Two, North Province Area Three, South Province Area Six, West Province Area Two
Static: North Province Area Two, West Province Area One
Tera Raid Battles: 3 Star Raid Battles"
16,Hoppip,"South Province Area One, South Province Area Two
Tera Raid Battles: 1 Star Raid Battles"
17,Skiploom,"East Province Area One, East Province Area Two, South Province Area Three, South Province Area Five
Static: West Province Area Two
Tera Raid Battles: 3 Star Raid Battles"
18,Jumpluff,"North Province Area One, North Province Area Two, North Province Area Three, West Province Area Three"
19,Fletchling,"South Province Area One, South Province Area Two, South Province Area Five
Static: South Province Area One, South Province Area Two
Tera Raid Battles: 2 Star Raid Battles"
20,Fletchinder,"South Province Area One, South Province Area Three, South Province Area Four, South Province Area Five, West Province Area Three
Static: East Province Area One, West Province Area Two
Tera Raid Battles: 3 Star Raid Battles"
21,Talonflame,"Evolve Fletchinder
Static: South Province Area Three
Tera Raid Battles: 5 Star Raid Battles, 6 Star Raid Battles"
22,Pawmi,"South Province Area One, South Province Area Three, South Province Area Five
Static: South Province Area One, South Province Area Two, West Province Area One
Tera Raid Battles: 1 Star Raid Battles"
23,Pawmo,"East Province Area One, East Province Area Two, North Province Area One, North Province Area Three, South Province Area One, South Province Area Three, South Province Area Four, South Province Area Five, South Province Area Six, West Province Area One, West Province Area Two, West Province Area Three
Static: North Province Area One, North Province Area Three, West Province Area Three
Tera Raid Battles: 3 Star Raid Battles"
24,Pawmot,"Evolve Pawmo
Tera Raid Battles: 5 Star Raid Battles, 6 Star Raid Battles"
25,Houndour,"Inlet Grotto, South Province Area Four
Tera Raid Battles: 2 Star Raid Battles"
26,Houndoom,"North Province Area Two
Static: South Province Area Four, South Province Area Six
Tera Raid Battles: 5 Star Raid Battles"
27,Yungoos,"Asado Desert, East Province Area One, East Province Area Two, East Province Area Three, Inlet Grotto, South Province Area One, South Province Area Three, South Province Area Four, South Province Area Five, West Province Area One, West Province Area Two
Tera Raid Battles: 1 Star Raid Battles"
28,Gumshoos,"Alfornada Cavern, Asado Desert, Dalizapa Passage, East Province Area One, East Province Area Two, East Province Area Three, Glaseado Mountain, Inlet Grotto, North Province Area One, South Province Area Three, South Province Area Five, South Province Area Six, Tagtree Thicket, West Province Area One, West Province Area Two, West Province Area Three
Tera Raid Battles: 3 Star Raid Battles"
29,Skwovet,"South Province Area One, South Province Area Two
Tera Raid Battles: 1 Star Raid Battles"
30,Greedent,"Dalizapa Passage, North Province Area One, South Province Area Six, Tagtree Thicket, West Province Area Three
Static: Tagtree Thicket
Tera Raid Battles: 3 Star Raid Battles, 5 Star Raid Battles"
31,Sunkern,"South Province Area One, South Province Area Two
Static: South Province Area Two
Tera Raid Battles: 1 Star Raid Battles"
32,Sunflora,"East Paldean Sea, North Province Area Three, South Province Area Six, Tagtree Thicket
Static: North Province Area Two
Tera Raid Battles: 3 Star Raid Battles"
33,Kricketot,"South Province Area Two
Tera Raid Battles: 1 Star Raid Battles"
34,Kricketune,"North Province Area Two
Tera Raid Battles: 3 Star Raid Battles"
35,Scatterbug,"South Province Area One, South Province Area Five"
36,Spewpa,"South Province Area One, South Province Area Four"
37,Vivillon,"East Paldean Sea, North Province Area One, North Province Area Two, North Province Area Three"
38,Combee,"East Paldean Sea, South Province Area One, South Province Area Two, South Province Area Four, West Province Area One
Static: South Province Area Two, West Province Area One
Tera Raid Battles: 1 Star Raid Battles"
39,Vespiquen,"East Paldean Sea, North Province Area One, North Province Area Two, North Province Area Three, South Province Area Six
Static: South Province Area Two, West Province Area One
Tera Raid Battles: 4 Star Raid Battles"
40,Rookidee,"East Province Area One, East Province Area Two, East Province Area Three, South Province Area One, South Province Area Three, South Province Area Five
Tera Raid Battles: 1 Star Raid Battles"
41,Corvisquire,"East Province Area One, East Province Area Two, East Province Area Three, South Province Area One, South Province Area Three, South Province Area Five
Static: East Province Area One, East Province Area Three
Tera Raid Battles: 3 Star Raid Battles"
42,Corviknight,"Evolve Corvisquire
Static: North Province Area Two
Tera Raid Battles: 5 Star Raid Battles, 6 Star Raid Battles"
43,Happiny,"Pokemon League, South Province Area One, South Province Area Two, South Province Area Three, South Province Area Five, West Province Area One
Static: South Province Area One"
44,Chansey,"Casseroya Lake, East Province Area Two, North Province Area One, North Province Area Two, North Province Area Three, South Province Area Six, West Province Area Two, West Province Area Three
Static: South Province Area Four
Tera Raid Battles: 3 Star Raid Battles"
45,Blissey,"North Province Area One, North Province Area Two, North Province Area Three
Tera Raid Battles: 5 Star Raid Battles, 6 Star Raid Battles"
46,Azurill,"East Province Area One, South Province Area One, South Province Area Two, South Province Area Five
Static: South Province Area One
Tera Raid Battles: 1 Star Raid Battles"
47,Marill,"East Province Area Two, South Province Area One, South Province Area Two, South Province Area Four, South Province Area Five, West Province Area One
Tera Raid Battles: 3 Star Raid Battles"
48,Azumarill,"Casseroya Lake, West Province Area Two
Static: Casseroya Lake
Tera Raid Battles: 4 Star Raid Battles"
49,Surskit,"South Province Area One, South Province Area Two, South Province Area Five
Tera Raid Battles: 1 Star Raid Battles"
